county_fips_code,study_year,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi_2018,me_2018,fme_2018,mme_2018,total_pop,one_race,one_race_w,one_race_b,one_race_i,one_race_a,one_race_h,one_race_other,two_races,hispanic,households,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa,mfccsa,mc_infant,mc_toddler,mc_preschool,mfcc_infant,mfcc_toddler,mfcc_preschool,fips
27091,2018,3.51,2.77,4.15,3.2,2.6,3.8,80.1,73.3,91.9,77,88.8,8.7,13.3,53915,33188,26160,41221,19964,98.4,96.2,0.3,0.1,0.4,0.1,1.3,1.6,4.3,8653,678,187,0,294,1422,316,45,447,33.91,31.19,37.01,16.64,8.11,26.32,20.1,15.23,25.62,11.96,21.23,1.43,17.4,24.24,9.62,147,100,175,157,151,115,110,110,27091
42035,2018,5.65,6.19,5.15,5.2,5.1,5.3,71.9,66.7,78.5,68.7,78.5,10.3,17.4,49234,27116,21585,33563,39074,99,96.2,1.6,0.2,0.8,0,0.2,1,1.5,14744,1083,638,42,425,2427,1119,120,867,27.13,20.65,34.29,20.69,16.65,25.15,20.36,11.49,30.14,12.07,22.42,0.64,19.75,28.78,9.78,115,121,159.5,145,130,125,125,125,42035
37147,2018,9.22,9.58,8.83,8,8.5,7.4,74.6,76.4,84.7,76.8,81,15,23.9,44315,27376,23196,31989,177372,97.6,57.6,34.8,0.3,1.7,0,3.2,2.4,6.1,69169,4263,1906,236,4806,10368,2572,877,8806,37.44,34.4,40.37,20.78,17.42,24,21.36,14.97,27.5,7.59,14.41,1.05,12.82,18.8,7.08,111.86,104.99,189.99,164.99,144.99,157.49,138.19,134.99,37147
21151,2018,6.57,6.9,6.26,6,6.1,5.9,70.8,66.7,80.1,66.1,79.1,13.3,19,48687,24905,19447,31266,89700,97.7,91.4,4.3,0.4,1,0,0.7,2.3,2.4,33229,2441,1430,151,1485,5684,1884,517,2379,35.69,32.48,39.17,20.09,17.51,22.88,20.55,12.85,28.9,6.94,12.19,1.25,16.73,24.97,7.8,107.5,100,157.5,140,140,132.5,135,135,21151
38039,2018,1.25,0.55,1.84,1,0,1.9,80.6,92.2,92.4,100,90.7,3,8.1,52794,31438,22457,39390,2266,98.5,95.3,1.4,1.5,0,0,0.3,1.5,0.3,1056,84,3,0,44,188,13,10,17,37.06,38.13,35.79,15.14,2.66,29.89,20.05,10.63,31.18,14.81,27.19,0.18,12.94,21.41,2.95,48.31,44.09,137.7,131.52,117.54,98.84,98.84,95.43,38039
48109,2018,6.47,2.82,8.62,7.3,3,10.3,61.5,56.3,77.7,56,82.1,24,31.4,33417,20055,16037,22226,2241,97.9,81.8,0.1,0,0.5,0,15.4,2.1,73.4,681,63,20,0,123,82,5,5,170,22.18,18.21,28.5,31.64,29.97,34.3,15.67,6.46,30.34,21.46,34.93,0,9.05,10.43,6.86,101.7,89.55,131.4,121.2,112.7,110.85,110.3,104.7,48109
47095,2018,9.83,8.35,11.46,9.8,7.8,12,66.1,81,75,76.2,26.2,21.6,26.9,34966,26630,25594,28485,7526,98.5,67.9,29.1,0.2,0.1,0,1.1,1.5,2.2,2203,119,40,8,129,219,62,3,220,26.72,18.88,33.55,24.36,22.87,25.66,20.84,6.9,32.99,8.94,19.2,0,19.14,32.15,7.8,50,70,127.02,110,110,97.5,97.5,97.5,47095
28109,2018,8.43,8.05,8.74,7.6,7.2,7.9,60.5,59.3,76.3,63.3,74.3,12.9,16.1,45820,29890,21862,40161,55149,98.1,84,12.8,0.2,0.3,0,0.8,1.9,3,20752,1130,920,67,1078,3006,1694,307,2314,32.26,23.59,42.63,16.29,13.02,20.2,20.62,11.02,32.12,13.78,24.59,0.82,17.06,27.77,4.22,67.84,52.39,73.35,69.72,69.72,63.53,63.53,54.71,28109
47113,2018,5.15,5.32,4.97,4.6,5,4.3,69.9,73.4,79.8,67.1,75,14.8,19.4,46223,30256,26015,34882,97682,98.1,58.6,37.4,0.1,1,0,1,1.9,3.8,37729,2216,1218,31,2893,5463,1836,287,5325,33.38,28.25,38.49,19.68,16.36,23,22.73,16.91,28.52,7.69,13.99,1.42,16.52,24.49,8.58,59,65,185,147.63,147.63,135,122.75,122.75,47113
21129,2018,8.65,8.73,8.57,7.6,8.2,6.9,52.5,52.7,64.1,77.1,43.8,28.1,33.5,23972,26242,25240,26757,6751,98.5,96.8,0.8,0.3,0.6,0,0,1.5,0.6,2864,52,17,0,219,306,70,8,305,32.37,16.1,48.23,12.19,11.36,13,22.63,14.66,30.4,12.57,25.14,0.32,20.24,32.75,8.06,90,92.5,115,102.5,102.5,101.25,96.25,96.25,21129
